aggregated	self	category	text
28.74%	28.74%	13642	b	Uh-huh
53.47%	24.73%	11737	b	Yeah
60.25%	6.78%	3219	b	Right
62.51%	2.25%	1070	b	Oh
64.68%	2.17%	1030	b	yeah
65.95%	1.27%	602	b	uh-huh
67.16%	1.21%	574	b	{F Oh } yeah
68.27%	1.11%	526	b	Yes
69.34%	1.08%	511	b	Okay
70.15%	0.81%	385	bk	Okay
70.82%	0.67%	317	b	Sure
71.44%	0.62%	294	bk	{F Oh } okay
72.03%	0.59%	281	b	Huh-uh
72.56%	0.53%	250	b	{F Um }
73.07%	0.51%	243	b	right
73.57%	0.50%	237	ba	Wow
74.04%	0.47%	224	b	{F Huh }
74.47%	0.43%	203	bh	{F Oh } really?
74.83%	0.36%	171	b	Huh
75.18%	0.35%	164	bh	Really?
75.50%	0.33%	155	bk	Oh
75.82%	0.32%	151	b	Really
76.09%	0.27%	130	b	{F Oh } okay
76.36%	0.26%	125	b^m	Yeah
76.62%	0.26%	125	b	{F Oh } really
76.88%	0.26%	123	b	{F Oh } uh-huh
77.14%	0.25%	121	b	{F Uh }
77.37%	0.23%	111	b	<Laughter> Yeah
77.60%	0.23%	110	b	Yeah <laughter>
77.79%	0.19%	92	ba	{F Oh } wow
77.97%	0.17%	82	b	No
78.14%	0.17%	81	ba	{F Oh } no
78.30%	0.16%	76	ba	That's right
78.46%	0.16%	75	b	I see
78.61%	0.15%	71	b	Yep
78.75%	0.14%	68	bh	{F Oh } really
78.88%	0.13%	64	ba	That's great
79.02%	0.13%	64	ba	{D Well } that's good
79.15%	0.13%	62	ba	{F Oh } my goodness
79.28%	0.13%	61	b	yes
79.41%	0.13%	61	ba	I know
79.53%	0.13%	60	b	Right <laughter>
79.66%	0.12%	58	ba	That's good
79.78%	0.12%	57	ba	{F Oh } gosh
79.90%	0.12%	57	b	{D Well } yeah
80.01%	0.12%	56	bk	{F Oh } I see
80.13%	0.12%	56	bh	Is that right?
80.25%	0.12%	56	b	Oh <laughter>
80.36%	0.11%	52	bk	I see
80.46%	0.11%	50	b	{F Oh }
80.57%	0.10%	49	b	All right
80.67%	0.10%	49	b	okay
80.77%	0.10%	49	b	<<Very faint>> Uh-huh
80.88%	0.10%	49	ba	{F Oh } yeah
80.98%	0.10%	49	bk	okay
81.08%	0.10%	48	ba	That's true
81.18%	0.10%	47	ba	{F Oh } that's great
81.28%	0.10%	46	b	-- yeah
81.37%	0.10%	46	ba	{F Oh } my gosh
